Progressivo,Nominativo,Data,Gruppo,Presenza,Votazioni,Percentuale
27481.0,ZACCHIROLI BENEDETTO,2013-03-04,PARTITO DEMOCRATICO,P,4.0,62.0
32794.0,MIGNANI MARIANNA,2013-03-04,PARTITO DEMOCRATICO,P,5.0,78.0
22034.0,GHETTI MAURIZIO,2013-03-04,PARTITO DEMOCRATICO,P,5.0,78.0
33977.0,BENASSI MARZIA,2013-03-04,PARTITO DEMOCRATICO,P,3.0,47.0
33978.0,ERRANI FRANCESCO,2013-03-04,PARTITO DEMOCRATICO,P,4.0,62.0
27197.0,MELEGA CORRADO,2013-03-04,PARTITO DEMOCRATICO,P,5.0,78.0
9097.0,PETRELLA TOMMASO,2013-03-04,PARTITO DEMOCRATICO,P,5.0,78.0
33979.0,LA TORRE CATHY,2013-03-04,CON AMELIA PER BOLOGNA CON VENDOLA,P,4.0,62.0
33980.0,PIERALISI MIRCO,2013-03-04,CON AMELIA PER BOLOGNA CON VENDOLA,P,3.0,47.0
26392.0,CIPRIANI LORENZO,2013-03-04,CON AMELIA PER BOLOGNA CON VENDOLA,P,2.0,31.0
33987.0,SAZZINI LORENZO,2013-03-04,CON AMELIA PER BOLOGNA CON VENDOLA,P,4.0,62.0
32714.0,CAVIANO PASQUALE,2013-03-04,BOLOGNA RIFORMISTA E DEMOCRATICA,P,3.0,47.0
21843.0,LISEI MARCO,2013-03-04,POPOLO DELLA LIBERTA,P,5.0,78.0
27208.0,TOMASSINI LORENZO,2013-03-04,POPOLO DELLA LIBERTA,P,2.0,31.0
32712.0,FACCI MICHELE,2013-03-04,POPOLO DELLA LIBERTA,P,5.0,78.0
27997.0,CASTALDINI VALENT.,2013-03-04,POPOLO DELLA LIBERTA,P,2.0,31.0
8904.0,CARELLA DANIELE,2013-03-04,POPOLO DELLA LIBERTA,P,5.0,78.0
20144.0,GATTUSO PATRIZIO G.,2013-03-04,POPOLO DELLA LIBERTA,P,2.0,31.0
32719.0,BERNARDINI MANES,2013-03-04,LEGA NORD,P,3.0,47.0
33981.0,COCCONCELLI MIRKA,2013-03-04,LEGA NORD,P,5.0,78.0
33982.0,SCARANO PAOLA F.,2013-03-04,LEGA NORD,P,5.0,78.0
33983.0,BORGONZONI LUCIA,2013-03-04,LEGA NORD,P,3.0,47.0
33984.0,BUGANI MASSIMO,2013-03-04,MOVIMENTO 5 STELLE,P,4.0,62.0
32861.0,SALSI FEDERICA,2013-03-04,GRUPPO MISTO,P,4.0,62.0
33985.0,PIAZZA MARCO,2013-03-04,MOVIMENTO 5 STELLE,P,5.0,78.0
33986.0,ALDROVANDI STEFANO,2013-03-04,BOLOGNA 2016,P,2.0,31.0
32708.0,TURCI DANIELA,2013-03-04,PARTITO DEMOCRATICO,P,4.0,62.0
16863.0,MEROLA VIRGINIO,2013-01-07,SINDACO,P,1.0,6.0
9076.0,MAZZANTI CLAUDIO,2013-01-07,PARTITO DEMOCRATICO,P,13.0,79.0
29442.0,CRITELLI FRANCESCO,2013-01-07,PARTITO DEMOCRATICO,P,13.0,79.0
32746.0,LEMBI SIMONA,2013-01-07,PARTITO DEMOCRATICO,P,12.0,73.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-01-07,PARTITO DEMOCRATICO,P,12.0,73.0
15586.0,MARCHESINI ANGELO,2013-01-07,PARTITO DEMOCRATICO,P,4.0,24.0
18313.0,LO GIUDICE SERGIO,2013-01-07,PARTITO DEMOCRATICO,P,13.0,79.0
9181.0,SANTI RAFFAELLA,2013-01-07,PARTITO DEMOCRATICO,P,12.0,73.0
32704.0,LAMA ROSSELLA,2013-01-07,PARTITO DEMOCRATICO,P,12.0,73.0
27410.0,FERRI MARIARAFFAELLA,2013-01-07,PARTITO DEMOCRATICO,P,12.0,73.0
27481.0,ZACCHIROLI BENEDETTO,2013-01-07,PARTITO DEMOCRATICO,P,12.0,73.0
32794.0,MIGNANI MARIANNA,2013-01-07,PARTITO DEMOCRATICO,P,12.0,73.0
22034.0,GHETTI MAURIZIO,2013-01-07,PARTITO DEMOCRATICO,P,11.0,67.0
33977.0,BENASSI MARZIA,2013-01-07,PARTITO DEMOCRATICO,P,13.0,79.0
33978.0,ERRANI FRANCESCO,2013-01-07,PARTITO DEMOCRATICO,P,11.0,67.0
27197.0,MELEGA CORRADO,2013-01-07,PARTITO DEMOCRATICO,P,13.0,79.0
9097.0,PETRELLA TOMMASO,2013-01-07,PARTITO DEMOCRATICO,P,13.0,79.0
33979.0,LA TORRE CATHY,2013-01-07,CON AMELIA PER BOLOGNA CON VENDOLA,P,9.0,55.0
33980.0,PIERALISI MIRCO,2013-01-07,CON AMELIA PER BOLOGNA CON VENDOLA,P,11.0,67.0
26392.0,CIPRIANI LORENZO,2013-01-07,CON AMELIA PER BOLOGNA CON VENDOLA,P,9.0,55.0
33987.0,SAZZINI LORENZO,2013-01-07,CON AMELIA PER BOLOGNA CON VENDOLA,P,6.0,36.0
32714.0,CAVIANO PASQUALE,2013-01-07,BOLOGNA RIFORMISTA E DEMOCRATICA,P,11.0,67.0
21843.0,LISEI MARCO,2013-01-07,POPOLO DELLA LIBERTA,P,13.0,79.0
27208.0,TOMASSINI LORENZO,2013-01-07,POPOLO DELLA LIBERTA,P,8.0,49.0
32712.0,FACCI MICHELE,2013-01-07,POPOLO DELLA LIBERTA,P,11.0,67.0
27997.0,CASTALDINI VALENT.,2013-01-07,POPOLO DELLA LIBERTA,P,11.0,67.0
8904.0,CARELLA DANIELE,2013-01-07,POPOLO DELLA LIBERTA,P,13.0,79.0
20144.0,GATTUSO PATRIZIO G.,2013-01-07,POPOLO DELLA LIBERTA,P,11.0,67.0
32719.0,BERNARDINI MANES,2013-01-07,LEGA NORD,P,3.0,18.0
33981.0,COCCONCELLI MIRKA,2013-01-07,LEGA NORD,P,13.0,79.0
33982.0,SCARANO PAOLA F.,2013-01-07,LEGA NORD,P,13.0,79.0
33983.0,BORGONZONI LUCIA,2013-01-07,LEGA NORD,P,5.0,30.0
33984.0,BUGANI MASSIMO,2013-01-07,MOVIMENTO 5 STELLE,P,11.0,67.0
32861.0,SALSI FEDERICA,2013-01-07,GRUPPO MISTO,P,13.0,79.0
33985.0,PIAZZA MARCO,2013-01-07,MOVIMENTO 5 STELLE,P,11.0,67.0
33986.0,ALDROVANDI STEFANO,2013-01-07,BOLOGNA 2016,P,13.0,79.0
32708.0,TURCI DANIELA,2013-01-07,PARTITO DEMOCRATICO,P,9.0,55.0
16863.0,MEROLA VIRGINIO,2013-02-08,SINDACO,P,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
29442.0,CRITELLI FRANCESCO,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
32746.0,LEMBI SIMONA,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-02-08,PARTITO DEMOCRATICO,A,0.0,0.0
15586.0,MARCHESINI ANGELO,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
18313.0,LO GIUDICE SERGIO,2013-02-08,PARTITO DEMOCRATICO,P,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-02-08,PARTITO DEMOCRATICO,A,0.0,0.0
32704.0,LAMA ROSSELLA,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
27410.0,FERRI MARIARAFFAELLA,2013-02-08,PARTITO DEMOCRATICO,P,0.0,0.0
27481.0,ZACCHIROLI BENEDETTO,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
32794.0,MIGNANI MARIANNA,2013-02-08,PARTITO DEMOCRATICO,P,0.0,0.0
22034.0,GHETTI MAURIZIO,2013-02-08,PARTITO DEMOCRATICO,A,0.0,0.0
33977.0,BENASSI MARZIA,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
33978.0,ERRANI FRANCESCO,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
27197.0,MELEGA CORRADO,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
9097.0,PETRELLA TOMMASO,2013-02-08,PARTITO DEMOCRATICO,P,1.0,49.0
33979.0,LA TORRE CATHY,2013-02-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
33980.0,PIERALISI MIRCO,2013-02-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
26392.0,CIPRIANI LORENZO,2013-02-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
33987.0,SAZZINI LORENZO,2013-02-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
32714.0,CAVIANO PASQUALE,2013-02-08,BOLOGNA RIFORMISTA E DEMOCRATICA,P,1.0,49.0
21843.0,LISEI MARCO,2013-02-08,POPOLO DELLA LIBERTA,P,0.0,0.0
27208.0,TOMASSINI LORENZO,2013-02-08,POPOLO DELLA LIBERTA,P,0.0,0.0
32712.0,FACCI MICHELE,2013-02-08,POPOLO DELLA LIBERTA,P,1.0,49.0
27997.0,CASTALDINI VALENT.,2013-02-08,POPOLO DELLA LIBERTA,A,0.0,0.0
8904.0,CARELLA DANIELE,2013-02-08,POPOLO DELLA LIBERTA,P,1.0,49.0
20144.0,GATTUSO PATRIZIO G.,2013-02-08,POPOLO DELLA LIBERTA,P,1.0,49.0
32719.0,BERNARDINI MANES,2013-02-08,LEGA NORD,P,0.0,0.0
33981.0,COCCONCELLI MIRKA,2013-02-08,LEGA NORD,P,1.0,49.0
33982.0,SCARANO PAOLA F.,2013-02-08,LEGA NORD,P,1.0,49.0
33983.0,BORGONZONI LUCIA,2013-02-08,LEGA NORD,P,1.0,49.0
33984.0,BUGANI MASSIMO,2013-02-08,MOVIMENTO 5 STELLE,P,1.0,49.0
32861.0,SALSI FEDERICA,2013-02-08,GRUPPO MISTO,P,0.0,0.0
33985.0,PIAZZA MARCO,2013-02-08,MOVIMENTO 5 STELLE,P,1.0,49.0
33986.0,ALDROVANDI STEFANO,2013-02-08,BOLOGNA 2016,A,0.0,0.0
32708.0,TURCI DANIELA,2013-02-08,PARTITO DEMOCRATICO,P,0.0,0.0
16863.0,MEROLA VIRGINIO,2013-03-08,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-03-08,PARTITO DEMOCRATICO,P,1.0,49.0
29442.0,CRITELLI FRANCESCO,2013-03-08,PARTITO DEMOCRATICO,P,1.0,49.0
32746.0,LEMBI SIMONA,2013-03-08,PARTITO DEMOCRATICO,P,1.0,49.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-03-08,PARTITO DEMOCRATICO,P,1.0,49.0
15586.0,MARCHESINI ANGELO,2013-03-08,PARTITO DEMOCRATICO,A,0.0,0.0
18313.0,LO GIUDICE SERGIO,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
32704.0,LAMA ROSSELLA,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
27410.0,FERRI MARIARAFFAELLA,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
27481.0,ZACCHIROLI BENEDETTO,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
32794.0,MIGNANI MARIANNA,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
22034.0,GHETTI MAURIZIO,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
33977.0,BENASSI MARZIA,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
33978.0,ERRANI FRANCESCO,2013-03-08,PARTITO DEMOCRATICO,P,1.0,49.0
27197.0,MELEGA CORRADO,2013-03-08,PARTITO DEMOCRATICO,P,0.0,0.0
9097.0,PETRELLA TOMMASO,2013-03-08,PARTITO DEMOCRATICO,P,1.0,49.0
33979.0,LA TORRE CATHY,2013-03-08,CON AMELIA PER BOLOGNA CON VENDOLA,A,0.0,0.0
33980.0,PIERALISI MIRCO,2013-03-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
26392.0,CIPRIANI LORENZO,2013-03-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
33987.0,SAZZINI LORENZO,2013-03-08,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
32714.0,CAVIANO PASQUALE,2013-03-08,BOLOGNA RIFORMISTA E DEMOCRATICA,P,1.0,49.0
21843.0,LISEI MARCO,2013-03-08,POPOLO DELLA LIBERTA,P,0.0,0.0
27208.0,TOMASSINI LORENZO,2013-03-08,POPOLO DELLA LIBERTA,P,1.0,49.0
32712.0,FACCI MICHELE,2013-03-08,POPOLO DELLA LIBERTA,P,1.0,49.0
27997.0,CASTALDINI VALENT.,2013-03-08,POPOLO DELLA LIBERTA,P,1.0,49.0
8904.0,CARELLA DANIELE,2013-03-08,POPOLO DELLA LIBERTA,P,1.0,49.0
20144.0,GATTUSO PATRIZIO G.,2013-03-08,POPOLO DELLA LIBERTA,P,1.0,49.0
32719.0,BERNARDINI MANES,2013-03-08,LEGA NORD,P,0.0,0.0
33981.0,COCCONCELLI MIRKA,2013-03-08,LEGA NORD,P,1.0,49.0
33982.0,SCARANO PAOLA F.,2013-03-08,LEGA NORD,P,1.0,49.0
33983.0,BORGONZONI LUCIA,2013-03-08,LEGA NORD,P,0.0,0.0
33984.0,BUGANI MASSIMO,2013-03-08,MOVIMENTO 5 STELLE,P,0.0,0.0
32861.0,SALSI FEDERICA,2013-03-08,GRUPPO MISTO,P,0.0,0.0
33985.0,PIAZZA MARCO,2013-03-08,MOVIMENTO 5 STELLE,P,1.0,49.0
33986.0,ALDROVANDI STEFANO,2013-03-08,BOLOGNA 2016,P,0.0,0.0
32708.0,TURCI DANIELA,2013-03-08,PARTITO DEMOCRATICO,A,0.0,0.0
16863.0,MEROLA VIRGINIO,2013-01-11,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
29442.0,CRITELLI FRANCESCO,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
32746.0,LEMBI SIMONA,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
15586.0,MARCHESINI ANGELO,2013-01-11,PARTITO DEMOCRATICO,P,0.0,0.0
18313.0,LO GIUDICE SERGIO,2013-01-11,PARTITO DEMOCRATICO,A,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
32704.0,LAMA ROSSELLA,2013-01-11,PARTITO DEMOCRATICO,A,0.0,0.0
27410.0,FERRI MARIARAFFAELLA,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
27481.0,ZACCHIROLI BENEDETTO,2013-01-11,PARTITO DEMOCRATICO,P,0.0,0.0
32794.0,MIGNANI MARIANNA,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
22034.0,GHETTI MAURIZIO,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
33977.0,BENASSI MARZIA,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
33978.0,ERRANI FRANCESCO,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
27197.0,MELEGA CORRADO,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
9097.0,PETRELLA TOMMASO,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
33979.0,LA TORRE CATHY,2013-01-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
33980.0,PIERALISI MIRCO,2013-01-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
26392.0,CIPRIANI LORENZO,2013-01-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
33987.0,SAZZINI LORENZO,2013-01-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
32714.0,CAVIANO PASQUALE,2013-01-11,BOLOGNA RIFORMISTA E DEMOCRATICA,P,1.0,49.0
21843.0,LISEI MARCO,2013-01-11,POPOLO DELLA LIBERTA,P,0.0,0.0
27208.0,TOMASSINI LORENZO,2013-01-11,POPOLO DELLA LIBERTA,P,1.0,49.0
32712.0,FACCI MICHELE,2013-01-11,POPOLO DELLA LIBERTA,P,1.0,49.0
27997.0,CASTALDINI VALENT.,2013-01-11,POPOLO DELLA LIBERTA,P,0.0,0.0
8904.0,CARELLA DANIELE,2013-01-11,POPOLO DELLA LIBERTA,P,1.0,49.0
20144.0,GATTUSO PATRIZIO G.,2013-01-11,POPOLO DELLA LIBERTA,P,0.0,0.0
32719.0,BERNARDINI MANES,2013-01-11,LEGA NORD,P,0.0,0.0
33981.0,COCCONCELLI MIRKA,2013-01-11,LEGA NORD,P,1.0,49.0
33982.0,SCARANO PAOLA F.,2013-01-11,LEGA NORD,P,1.0,49.0
33983.0,BORGONZONI LUCIA,2013-01-11,LEGA NORD,P,0.0,0.0
33984.0,BUGANI MASSIMO,2013-01-11,MOVIMENTO 5 STELLE,P,0.0,0.0
32861.0,SALSI FEDERICA,2013-01-11,GRUPPO MISTO,P,1.0,49.0
33985.0,PIAZZA MARCO,2013-01-11,MOVIMENTO 5 STELLE,P,0.0,0.0
33986.0,ALDROVANDI STEFANO,2013-01-11,BOLOGNA 2016,P,1.0,49.0
32708.0,TURCI DANIELA,2013-01-11,PARTITO DEMOCRATICO,P,1.0,49.0
16863.0,MEROLA VIRGINIO,2013-02-11,SINDACO,P,1.0,10.0
9076.0,MAZZANTI CLAUDIO,2013-02-11,PARTITO DEMOCRATICO,P,5.0,50.0
29442.0,CRITELLI FRANCESCO,2013-02-11,PARTITO DEMOCRATICO,P,7.0,70.0
32746.0,LEMBI SIMONA,2013-02-11,PARTITO DEMOCRATICO,P,8.0,80.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-02-11,PARTITO DEMOCRATICO,P,7.0,70.0
15586.0,MARCHESINI ANGELO,2013-02-11,PARTITO DEMOCRATICO,P,2.0,20.0
18313.0,LO GIUDICE SERGIO,2013-02-11,PARTITO DEMOCRATICO,P,8.0,80.0
9181.0,SANTI RAFFAELLA,2013-02-11,PARTITO DEMOCRATICO,P,2.0,20.0
32704.0,LAMA ROSSELLA,2013-02-11,PARTITO DEMOCRATICO,P,7.0,70.0
27410.0,FERRI MARIARAFFAELLA,2013-02-11,PARTITO DEMOCRATICO,P,6.0,60.0
27481.0,ZACCHIROLI BENEDETTO,2013-02-11,PARTITO DEMOCRATICO,P,8.0,80.0
32794.0,MIGNANI MARIANNA,2013-02-11,PARTITO DEMOCRATICO,P,7.0,70.0
22034.0,GHETTI MAURIZIO,2013-02-11,PARTITO DEMOCRATICO,P,8.0,80.0
33977.0,BENASSI MARZIA,2013-02-11,PARTITO DEMOCRATICO,P,8.0,80.0
33978.0,ERRANI FRANCESCO,2013-02-11,PARTITO DEMOCRATICO,P,8.0,80.0
27197.0,MELEGA CORRADO,2013-02-11,PARTITO DEMOCRATICO,P,7.0,70.0
9097.0,PETRELLA TOMMASO,2013-02-11,PARTITO DEMOCRATICO,P,7.0,70.0
33979.0,LA TORRE CATHY,2013-02-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,2.0,20.0
33980.0,PIERALISI MIRCO,2013-02-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,6.0,60.0
26392.0,CIPRIANI LORENZO,2013-02-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,4.0,40.0
33987.0,SAZZINI LORENZO,2013-02-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,4.0,40.0
32714.0,CAVIANO PASQUALE,2013-02-11,BOLOGNA RIFORMISTA E DEMOCRATICA,A,0.0,0.0
21843.0,LISEI MARCO,2013-02-11,POPOLO DELLA LIBERTA,P,7.0,70.0
27208.0,TOMASSINI LORENZO,2013-02-11,POPOLO DELLA LIBERTA,P,7.0,70.0
32712.0,FACCI MICHELE,2013-02-11,POPOLO DELLA LIBERTA,A,0.0,0.0
27997.0,CASTALDINI VALENT.,2013-02-11,POPOLO DELLA LIBERTA,P,6.0,60.0
8904.0,CARELLA DANIELE,2013-02-11,POPOLO DELLA LIBERTA,P,7.0,70.0
20144.0,GATTUSO PATRIZIO G.,2013-02-11,POPOLO DELLA LIBERTA,P,8.0,80.0
32719.0,BERNARDINI MANES,2013-02-11,LEGA NORD,P,5.0,50.0
33981.0,COCCONCELLI MIRKA,2013-02-11,LEGA NORD,P,5.0,50.0
33982.0,SCARANO PAOLA F.,2013-02-11,LEGA NORD,P,7.0,70.0
33983.0,BORGONZONI LUCIA,2013-02-11,LEGA NORD,P,7.0,70.0
33984.0,BUGANI MASSIMO,2013-02-11,MOVIMENTO 5 STELLE,P,8.0,80.0
32861.0,SALSI FEDERICA,2013-02-11,GRUPPO MISTO,P,7.0,70.0
33985.0,PIAZZA MARCO,2013-02-11,MOVIMENTO 5 STELLE,P,7.0,70.0
33986.0,ALDROVANDI STEFANO,2013-02-11,BOLOGNA 2016,A,0.0,0.0
32708.0,TURCI DANIELA,2013-02-11,PARTITO DEMOCRATICO,P,1.0,10.0
16863.0,MEROLA VIRGINIO,2013-03-11,SINDACO,P,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-03-11,PARTITO DEMOCRATICO,P,6.0,60.0
29442.0,CRITELLI FRANCESCO,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
32746.0,LEMBI SIMONA,2013-03-11,PARTITO DEMOCRATICO,P,6.0,60.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-03-11,PARTITO DEMOCRATICO,P,6.0,60.0
15586.0,MARCHESINI ANGELO,2013-03-11,PARTITO DEMOCRATICO,A,0.0,0.0
18313.0,LO GIUDICE SERGIO,2013-03-11,PARTITO DEMOCRATICO,A,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-03-11,PARTITO DEMOCRATICO,P,6.0,60.0
32704.0,LAMA ROSSELLA,2013-03-11,PARTITO DEMOCRATICO,P,3.0,30.0
27410.0,FERRI MARIARAFFAELLA,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
27481.0,ZACCHIROLI BENEDETTO,2013-03-11,PARTITO DEMOCRATICO,P,6.0,60.0
32794.0,MIGNANI MARIANNA,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
22034.0,GHETTI MAURIZIO,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
33977.0,BENASSI MARZIA,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
33978.0,ERRANI FRANCESCO,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
27197.0,MELEGA CORRADO,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
9097.0,PETRELLA TOMMASO,2013-03-11,PARTITO DEMOCRATICO,P,7.0,70.0
33979.0,LA TORRE CATHY,2013-03-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,4.0,40.0
33980.0,PIERALISI MIRCO,2013-03-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,7.0,70.0
26392.0,CIPRIANI LORENZO,2013-03-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,6.0,60.0
33987.0,SAZZINI LORENZO,2013-03-11,CON AMELIA PER BOLOGNA CON VENDOLA,P,3.0,30.0
32714.0,CAVIANO PASQUALE,2013-03-11,BOLOGNA RIFORMISTA E DEMOCRATICA,P,7.0,70.0
21843.0,LISEI MARCO,2013-03-11,POPOLO DELLA LIBERTA,P,7.0,70.0
27208.0,TOMASSINI LORENZO,2013-03-11,POPOLO DELLA LIBERTA,P,6.0,60.0
32712.0,FACCI MICHELE,2013-03-11,POPOLO DELLA LIBERTA,P,3.0,30.0
27997.0,CASTALDINI VALENT.,2013-03-11,POPOLO DELLA LIBERTA,P,7.0,70.0
8904.0,CARELLA DANIELE,2013-03-11,POPOLO DELLA LIBERTA,P,7.0,70.0
20144.0,GATTUSO PATRIZIO G.,2013-03-11,POPOLO DELLA LIBERTA,P,7.0,70.0
32719.0,BERNARDINI MANES,2013-03-11,LEGA NORD,A,0.0,0.0
33981.0,COCCONCELLI MIRKA,2013-03-11,LEGA NORD,P,1.0,10.0
33982.0,SCARANO PAOLA F.,2013-03-11,LEGA NORD,P,7.0,70.0
33983.0,BORGONZONI LUCIA,2013-03-11,LEGA NORD,P,4.0,40.0
33984.0,BUGANI MASSIMO,2013-03-11,MOVIMENTO 5 STELLE,P,6.0,60.0
32861.0,SALSI FEDERICA,2013-03-11,GRUPPO MISTO,P,6.0,60.0
33985.0,PIAZZA MARCO,2013-03-11,MOVIMENTO 5 STELLE,P,7.0,70.0
33986.0,ALDROVANDI STEFANO,2013-03-11,BOLOGNA 2016,P,7.0,70.0
32708.0,TURCI DANIELA,2013-03-11,PARTITO DEMOCRATICO,P,3.0,30.0
16863.0,MEROLA VIRGINIO,2013-01-14,SINDACO,P,1.0,10.0
9076.0,MAZZANTI CLAUDIO,2013-01-14,PARTITO DEMOCRATICO,P,7.0,70.0
29442.0,CRITELLI FRANCESCO,2013-01-14,PARTITO DEMOCRATICO,P,7.0,70.0
32746.0,LEMBI SIMONA,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-01-14,PARTITO DEMOCRATICO,P,7.0,70.0
15586.0,MARCHESINI ANGELO,2013-01-14,PARTITO DEMOCRATICO,P,5.0,50.0
18313.0,LO GIUDICE SERGIO,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
9181.0,SANTI RAFFAELLA,2013-01-14,PARTITO DEMOCRATICO,P,7.0,70.0
32704.0,LAMA ROSSELLA,2013-01-14,PARTITO DEMOCRATICO,P,7.0,70.0
27410.0,FERRI MARIARAFFAELLA,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
27481.0,ZACCHIROLI BENEDETTO,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
32794.0,MIGNANI MARIANNA,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
22034.0,GHETTI MAURIZIO,2013-01-14,PARTITO DEMOCRATICO,P,7.0,70.0
33977.0,BENASSI MARZIA,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
33978.0,ERRANI FRANCESCO,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
27197.0,MELEGA CORRADO,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
9097.0,PETRELLA TOMMASO,2013-01-14,PARTITO DEMOCRATICO,P,8.0,80.0
33979.0,LA TORRE CATHY,2013-01-14,CON AMELIA PER BOLOGNA CON VENDOLA,P,6.0,60.0
33980.0,PIERALISI MIRCO,2013-01-14,CON AMELIA PER BOLOGNA CON VENDOLA,P,8.0,80.0
26392.0,CIPRIANI LORENZO,2013-01-14,CON AMELIA PER BOLOGNA CON VENDOLA,P,4.0,40.0
33987.0,SAZZINI LORENZO,2013-01-14,CON AMELIA PER BOLOGNA CON VENDOLA,P,7.0,70.0
32714.0,CAVIANO PASQUALE,2013-01-14,BOLOGNA RIFORMISTA E DEMOCRATICA,P,8.0,80.0
21843.0,LISEI MARCO,2013-01-14,POPOLO DELLA LIBERTA,P,8.0,80.0
27208.0,TOMASSINI LORENZO,2013-01-14,POPOLO DELLA LIBERTA,P,6.0,60.0
32712.0,FACCI MICHELE,2013-01-14,POPOLO DELLA LIBERTA,P,6.0,60.0
27997.0,CASTALDINI VALENT.,2013-01-14,POPOLO DELLA LIBERTA,P,7.0,70.0
8904.0,CARELLA DANIELE,2013-01-14,POPOLO DELLA LIBERTA,P,8.0,80.0
20144.0,GATTUSO PATRIZIO G.,2013-01-14,POPOLO DELLA LIBERTA,P,5.0,50.0
