Progressivo,Nominativo,Data,Gruppo Politico,Presenza,Num.Votazioni
33981,COCCONCELLI MIRKA,2013-04-08T00:00:00Z,LEGA NORD,P,8
33982,SCARANO PAOLA F.,2013-04-08T00:00:00Z,LEGA NORD,P,7
33983,BORGONZONI LUCIA,2013-04-08T00:00:00Z,LEGA NORD,P,6
33984,BUGANI MASSIMO,2013-04-08T00:00:00Z,MOVIMENTO 5 STELLE,P,7
32861,SALSI FEDERICA,2013-04-08T00:00:00Z,GRUPPO MISTO,P,8
33985,PIAZZA MARCO,2013-04-08T00:00:00Z,MOVIMENTO 5 STELLE,P,8
33986,ALDROVANDI STEFANO,2013-04-08T00:00:00Z,BOLOGNA 2016,P,0
32708,TURCI DANIELA,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,8
0,DONDARINI ROLANDO,2013-04-08T00:00:00Z,PARTITO DEMOCRATICO,P,7
16863,MEROLA VIRGINIO,2013-05-10T00:00:00Z,SINDACO,A,0
9076,MAZZANTI CLAUDIO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
29442,CRITELLI FRANCESCO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
32746,LEMBI SIMONA,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,0
27189,BARCELO LIZANA LEONARDO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
15586,MARCHESINI ANGELO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
9181,SANTI RAFFAELLA,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
32704,LAMA ROSSELLA,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,0
27410,FERRI MARIARAFFAELLA,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
27481,ZACCHIROLI BENEDETTO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,0
32794,MIGNANI MARIANNA,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
22034,GHETTI MAURIZIO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
33977,BENASSI MARZIA,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
33978,ERRANI FRANCESCO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,0
27197,MELEGA CORRADO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
9097,PETRELLA TOMMASO,2013-05-10T00:00:00Z,PARTITO DEMOCRATICO,P,1
33979,LA TORRE CATHY,2013-05-10T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0
33980,PIERALISI MIRCO,2013-05-10T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0
