Progressivo,Nominativo,Data,GruppoPolitico,Presenza,NumVotazioni,PercentualePresenza
33978,ERRANI FRANCESCO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,13,79
27197,MELEGA CORRADO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,12,73
9097,PETRELLA TOMMASO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,12,73
33979,LA TORRE CATHY,2012-11-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,6,36
33980,PIERALISI MIRCO,2012-11-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,11,67
26392,CIPRIANI LORENZO,2012-11-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,11,67
33987,SAZZINI LORENZO,2012-11-05T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0
32714,CAVIANO PASQUALE,2012-11-05T00:00:00Z,ITALIA DEI VALORI,P,11,67
21843,LISEI MARCO,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,4,24
27208,TOMASSINI LORENZO,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,13,79
32712,FACCI MICHELE,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,A,0,0
27997,CASTALDINI VALENT.,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,10,61
8904,CARELLA DANIELE,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,13,79
20144,GATTUSO PATRIZIO G.,2012-11-05T00:00:00Z,POPOLO DELLA LIBERTA,P,8,49
32719,BERNARDINI MANES,2012-11-05T00:00:00Z,LEGA NORD,A,0,0
33981,COCCONCELLI MIRKA,2012-11-05T00:00:00Z,LEGA NORD,P,13,79
33982,SCARANO PAOLA F.,2012-11-05T00:00:00Z,LEGA NORD,A,0,0
33983,BORGONZONI LUCIA,2012-11-05T00:00:00Z,LEGA NORD,P,10,61
33984,BUGANI MASSIMO,2012-11-05T00:00:00Z,MOVIMENTO 5 STELLE,P,1,6
32861,SALSI FEDERICA,2012-11-05T00:00:00Z,MOVIMENTO 5 STELLE,P,11,67
33985,PIAZZA MARCO,2012-11-05T00:00:00Z,MOVIMENTO 5 STELLE,P,1,6
