"Progressivo";"Nominativo";"Data Seduta";"Gruppo Politico";"Presenza";"Num.Votazioni";"Percentuale presenza alle votazioni";"Note"
"27189";"BARCELO' LIZANA LEONARDO L.";"07/01/2013";"PARTITO DEMOCRATICO";"P";12;"73 ";
"15586";"MARCHESINI ANGELO";"07/01/2013";"PARTITO DEMOCRATICO";"P";4;"24 ";
"18313";"LO GIUDICE SERGIO";"07/01/2013";"PARTITO DEMOCRATICO";"P";13;"79 ";
"9181";"SANTI RAFFAELLA";"07/01/2013";"PARTITO DEMOCRATICO";"P";12;"73 ";
"32704";"LAMA ROSSELLA";"07/01/2013";"PARTITO DEMOCRATICO";"P";12;"73 ";
"27410";"FERRI MARIARAFFAELLA";"07/01/2013";"PARTITO DEMOCRATICO";"P";12;"73 ";
"27481";"ZACCHIROLI BENEDETTO";"07/01/2013";"PARTITO DEMOCRATICO";"P";12;"73 ";
"32794";"MIGNANI MARIANNA";"07/01/2013";"PARTITO DEMOCRATICO";"P";12;"73 ";
"22034";"GHETTI MAURIZIO";"07/01/2013";"PARTITO DEMOCRATICO";"P";11;"67 ";
"33977";"BENASSI MARZIA";"07/01/2013";"PARTITO DEMOCRATICO";"P";13;"79 ";
"33978";"ERRANI FRANCESCO";"07/01/2013";"PARTITO DEMOCRATICO";"P";11;"67 ";
"27197";"MELEGA CORRADO";"07/01/2013";"PARTITO DEMOCRATICO";"P";13;"79 ";
"9097";"PETRELLA TOMMASO";"07/01/2013";"PARTITO DEMOCRATICO";"P";13;"79 ";
"33979";"LA TORRE CATHY";"07/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";9;"55 ";
"33980";"PIERALISI MIRCO";"07/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";11;"67 ";
"26392";"CIPRIANI LORENZO";"07/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";9;"55 ";
"33987";"SAZZINI LORENZO";"07/01/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";6;"36 ";
"32714";"CAVIANO PASQUALE";"07/01/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";11;"67 ";
"21843";"LISEI MARCO";"07/01/2013";"POPOLO DELLA LIBERTA'";"P";13;"79 ";
"27208";"TOMASSINI LORENZO";"07/01/2013";"POPOLO DELLA LIBERTA'";"P";8;"49 ";
"32712";"FACCI MICHELE";"07/01/2013";"POPOLO DELLA LIBERTA'";"P";11;"67 ";
"27997";"CASTALDINI VALENT.";"07/01/2013";"POPOLO DELLA LIBERTA'";"P";11;"67 ";
"8904";"CARELLA DANIELE";"07/01/2013";"POPOLO DELLA LIBERTA'";"P";13;"79 ";
"20144";"GATTUSO PATRIZIO G.";"07/01/2013";"POPOLO DELLA LIBERTA'";"P";11;"67 ";
"32719";"BERNARDINI MANES";"07/01/2013";"LEGA NORD";"P";3;"18 ";
"33981";"COCCONCELLI MIRKA";"07/01/2013";"LEGA NORD";"P";13;"79 ";
"33982";"SCARANO PAOLA F.";"07/01/2013";"LEGA NORD";"P";13;"79 ";
"33983";"BORGONZONI LUCIA";"07/01/2013";"LEGA NORD";"P";5;"30 ";
"33984";"BUGANI MASSIMO";"07/01/2013";"MOVIMENTO 5 STELLE";"P";11;"67 ";
"32861";"SALSI FEDERICA";"07/01/2013";"GRUPPO MISTO";"P";13;"79 ";
"33985";"PIAZZA MARCO";"07/01/2013";"MOVIMENTO 5 STELLE";"P";11;"67 ";
"33986";"ALDROVANDI STEFANO";"07/01/2013";"BOLOGNA 2016";"P";13;"79 ";
"32708";"TURCI DANIELA";"07/01/2013";"PARTITO DEMOCRATICO";"P";9;"55 ";
"16863";"MEROLA VIRGINIO";"08/02/2013";"SINDACO";"P";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"29442";"CRITELLI FRANCESCO";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32746";"LEMBI SIMONA";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"08/02/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"15586";"MARCHESINI ANGELO";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"18313";"LO GIUDICE SERGIO";"08/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"9181";"SANTI RAFFAELLA";"08/02/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"32704";"LAMA ROSSELLA";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27410";"FERRI MARIARAFFAELLA";"08/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27481";"ZACCHIROLI BENEDETTO";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32794";"MIGNANI MARIANNA";"08/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"22034";"GHETTI MAURIZIO";"08/02/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"33977";"BENASSI MARZIA";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33978";"ERRANI FRANCESCO";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27197";"MELEGA CORRADO";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"9097";"PETRELLA TOMMASO";"08/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33979";"LA TORRE CATHY";"08/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"33980";"PIERALISI MIRCO";"08/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"26392";"CIPRIANI LORENZO";"08/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;"49 ";
"33987";"SAZZINI LORENZO";"08/02/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;"0  ";
"32714";"CAVIANO PASQUALE";"08/02/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";1;"49 ";
"21843";"LISEI MARCO";"08/02/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"27208";"TOMASSINI LORENZO";"08/02/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"32712";"FACCI MICHELE";"08/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"27997";"CASTALDINI VALENT.";"08/02/2013";"POPOLO DELLA LIBERTA'";"A";0;"0  ";
"8904";"CARELLA DANIELE";"08/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"20144";"GATTUSO PATRIZIO G.";"08/02/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32719";"BERNARDINI MANES";"08/02/2013";"LEGA NORD";"P";0;"0  ";
"33981";"COCCONCELLI MIRKA";"08/02/2013";"LEGA NORD";"P";1;"49 ";
