Progressivo Consigliere Firmatario;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
"21843";"OdG";11/02/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA  GIUNTA AD ATTIVARSI- IN COLLABORAZIONE CON IL QUARTIERE SANTO STEFANO PROMOTORE DI TALE INIZIATIVA E POSSESSORE DEL KNOW-HOW  AFFINCHE' L'INIZIATIVA DENOMINATA 'A ME GLI OCCHI, BIBERON E BABY'- CAMPAGNA DI PREVENZIONE OCULISTICA GRATUITA - POSSA ESSERE ESTESA A TUTTA LA CITTA', PRESENTATO DAL CONSIGLIERE LISEI IN DATA 18.9.2012.";218526;2012;;"POPOLO DELLA LIBERTA'";"LISEI MARCO";;
;"Delibera di Consiglio";11/02/2013;"MODIFICA DELLA COMPOSIZIONE DELLE COMMISSIONI CONSILIARI 'AFFARI GENERALI ED ISTITUZIONALI' E 'TERRITORIO E AMBIENTE'.";25285;2013;13/02/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/23118BB5B871E992C1257B080054A5D2?OpenDocument"
;"Delibera di Consiglio";18/02/2013;"INTERPORTO S.P.A.: AUMENTO DEL CAPITALE SOCIALE A TITOLO GRATUITO, DELEGA AL CDA PER SUCCESSIVI AUMENTI DI CAPITALE A PAGAMENTO E PROPOSTA DI MODIFICHE STATUTARIE. DISMISSIONE DEL PACCHETTO AZIONARIO DI PROPRIETA' DEL COMUNE DI BOLOGNA.";16289;2013;20/02/2013;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/5C17F1390A656440C1257AA700322340?OpenDocument"
"27481";"OdG";26/02/2013;"ORDINE DEL GIORNO TESO AD INVITARE IL PARLAMENTO E IL GOVERNO A RICONOSCERE ED INTRODURRE IL REATO DI TORTURA NELL'ORDINAMENTO PENALE ITALIANO, A INTRODURRE ELEMENTI DI IDENTIFICAZIONE INDIVIDUALE DEGLI APPARTENENTI ALLE FORZE DI POLIZIA E ALTRE AZIONI COLLEGATE, PRESENTATO DAL CONSIGLIERE ZACCHIROLI ED ALTRI IN DATA 23.7.2012.";179877;2012;;"PARTITO DEMOCRATICO";"ZACCHIROLI BENEDETTO";"BUGANI MASSIMO - 33984","LA TORRE CATHY - 33979","LEMBI SIMONA - 32746","PIERALISI MIRCO - 33980";
;"Delibera di Consiglio";26/02/2013;"CESSIONE IN PROPRIETA' DI AREE COMPRESE ALL'INTERNO DEI PEEP DEL COMUNE DI BOLOGNA, GIA'  CONCESSE IN DIRITTO DI SUPERFICIE,  AI SENSI DELL'ART. 35 LEGGE N. 865/1971 E CONVENZIONI STIPULATE AI SENSI DELL'ART. 18 DEL D.P.R. N. 380/2001, CON PREVISIONE DEL RECESSO ANTICIPATO DAI VINCOLI CONVENZIONALI AI SENSI DELLA  LEGGE N.106/2011 E LEGGE N. 14 DEL 24 FEBBRAIO 2012.";19409;2013;28/02/2013;"Patrimonio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/6BAB5289663CCC1DC1257AA80036591D?OpenDocument"
;"Delibera di Consiglio";26/02/2013;"ASSENSO ALLA COSTITUZIONE DI UNA COMUNIONE, AI SENSI DEGLI ARTT. 1100 SS C.C., FRA TUTTI I PROPRIETARI - PUBBLICI E PRIVATI - DEL COMPARTO R.5 2 NAVILE, IN RELAZIONE ALLA FUTURA TITOLARITA' DELL'AREA DI REALIZZAZIONE DELLA CENTRALE DI TRIGENERAZIONE A SERVIZIO DEL COMPARTO.";10248;2013;28/02/2013;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/7993A3BD622FA161C1257AD8003E9EAD?OpenDocument"
;"Delibera di Consiglio";26/02/2013;"APPROVAZIONE MODIFICHE ALLO STATUTO DELL'AGENZIA METROPOLITANA PER L'AFFITTO (AMA)";19389;2013;28/02/2013;"Servizi per l'abitare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/F65BABEEBAD2CDD9C1257AEE002A86C9?OpenDocument"
;"Delibera di Consiglio";26/02/2013;"PRESA D'ATTO DELLO SCHEMA DI STATUTO DELL'ENTE DI GESTIONE PER I PARCHI E LA BIODIVERSITA' EMILIA ORIENTALE";8427;2013;28/02/2013;"Ambiente e Energia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/06E5934F2DCF1B2DC1257AF30038C083?OpenDocument"
;"Delibera di Consiglio";26/02/2013;"ANTICIPAZIONE DI EURO 4.313.400 A FAVORE DELLA SOCIETA' PARTECIPATA S.R.M. SRL, CON RIMBORSO NEL TERMINE MASSIMO DEL 15/12/2013.";17353;2013;28/02/2013;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/02DF0FE70512226EC1257AFB0039A4AF?OpenDocument"
"33985";"OdG";26/02/2013;"ORDINE DEL GIORNO PER INVITARE I CANDIDATI DI CAMERA E SENATO A DARE PRIORITA' UNA VOLTA ELETTI, AL TEMA DEL TRASPORTO PUBBLICO ED IN PARTICOLARE AL RILANCIO DELLA BREDAMENARINIBUS, PRESENTATO DAL CONSIGLIERE PIAZZA ED ALTRI IN DATA 11.02.2013";33154;2013;;"MOVIMENTO 5 STELLE";"PIAZZA MARCO";"BUGANI MASSIMO - 33984";
