Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"33977";"BENASSI MARZIA";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"33978";"ERRANI FRANCESCO";03/10/2011;"PARTITO DEMOCRATICO";"P";8;72 
"27197";"MELEGA CORRADO";03/10/2011;"PARTITO DEMOCRATICO";"P";7;63 
"9097";"PETRELLA TOMMASO";03/10/2011;"PARTITO DEMOCRATICO";"P";9;81 
"33979";"LA TORRE CATHY";03/10/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";2;18 
"33980";"PIERALISI MIRCO";03/10/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";9;81 
"26392";"CIPRIANI LORENZO";03/10/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";9;81 
"33987";"SAZZINI LORENZO";03/10/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"32714";"CAVIANO PASQUALE";03/10/2011;"ITALIA DEI VALORI";"P";8;72 
"21843";"LISEI MARCO";03/10/2011;"POPOLO DELLA LIBERTA'";"P";7;63 
"27208";"TOMASSINI LORENZO";03/10/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"32712";"FACCI MICHELE";03/10/2011;"POPOLO DELLA LIBERTA'";"P";8;72 
"27997";"CASTALDINI VALENT.";03/10/2011;"POPOLO DELLA LIBERTA'";"P";7;63 
"8904";"CARELLA DANIELE";03/10/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"20144";"GATTUSO PATRIZIO G.";03/10/2011;"POPOLO DELLA LIBERTA'";"P";8;72 
"32719";"BERNARDINI MANES";03/10/2011;"LEGA NORD";"P";8;72 
"33981";"COCCONCELLI MIRKA";03/10/2011;"LEGA NORD";"P";8;72 
"33982";"SCARANO PAOLA F.";03/10/2011;"LEGA NORD";"P";8;72 
"33983";"BORGONZONI LUCIA";03/10/2011;"LEGA NORD";"P";9;81 
"33984";"BUGANI MASSIMO";03/10/2011;"MOVIMENTO 5 STELLE";"P";7;63 
"32861";"SALSI FEDERICA";03/10/2011;"MOVIMENTO 5 STELLE";"P";9;81 
"33985";"PIAZZA MARCO";03/10/2011;"MOVIMENTO 5 STELLE";"A";0;0  
"33986";"ALDROVANDI STEFANO";03/10/2011;"BOLOGNA 2016";"A";0;0  
"16863";"MEROLA VIRGINIO";04/07/2011;"SINDACO";"P";0;0  
"9116";"CEVENINI MAURIZIO";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"9076";"MAZZANTI CLAUDIO";04/07/2011;"PARTITO DEMOCRATICO";"P";8;72 
"29442";"CRITELLI FRANCESCO";04/07/2011;"PARTITO DEMOCRATICO";"P";8;72 
"32746";"LEMBI SIMONA";04/07/2011;"PARTITO DEMOCRATICO";"P";8;72 
"27189";"BARCELO' LIZANA LEONARDO L.";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"15586";"MARCHESINI ANGELO";04/07/2011;"PARTITO DEMOCRATICO";"P";8;72 
"18313";"LO GIUDICE SERGIO";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"9181";"SANTI RAFFAELLA";04/07/2011;"PARTITO DEMOCRATICO";"P";7;63 
"32704";"LAMA ROSSELLA";04/07/2011;"PARTITO DEMOCRATICO";"P";8;72 
