Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
32794;MIGNANI MARIANNA;05/11/2012;PARTITO DEMOCRATICO;P;13;79
22034;GHETTI MAURIZIO;05/11/2012;PARTITO DEMOCRATICO;P;13;79
33977;BENASSI MARZIA;05/11/2012;PARTITO DEMOCRATICO;P;13;79
33978;ERRANI FRANCESCO;05/11/2012;PARTITO DEMOCRATICO;P;13;79
27197;MELEGA CORRADO;05/11/2012;PARTITO DEMOCRATICO;P;12;73
9097;PETRELLA TOMMASO;05/11/2012;PARTITO DEMOCRATICO;P;12;73
33979;LA TORRE CATHY;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;6;36
33980;PIERALISI MIRCO;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;11;67
26392;CIPRIANI LORENZO;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;11;67
33987;SAZZINI LORENZO;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
32714;CAVIANO PASQUALE;05/11/2012;ITALIA DEI VALORI;P;11;67
21843;LISEI MARCO;05/11/2012;'POPOLO DELLA LIBERTA''';P;4;24
27208;TOMASSINI LORENZO;05/11/2012;'POPOLO DELLA LIBERTA''';P;13;79
32712;FACCI MICHELE;05/11/2012;'POPOLO DELLA LIBERTA''';A;0;0
27997;CASTALDINI VALENT.;05/11/2012;'POPOLO DELLA LIBERTA''';P;10;61
8904;CARELLA DANIELE;05/11/2012;'POPOLO DELLA LIBERTA''';P;13;79
20144;GATTUSO PATRIZIO G.;05/11/2012;'POPOLO DELLA LIBERTA''';P;8;49
32719;BERNARDINI MANES;05/11/2012;LEGA NORD;A;0;0
33981;COCCONCELLI MIRKA;05/11/2012;LEGA NORD;P;13;79
33982;SCARANO PAOLA F.;05/11/2012;LEGA NORD;A;0;0
33983;BORGONZONI LUCIA;05/11/2012;LEGA NORD;P;10;61
33984;BUGANI MASSIMO;05/11/2012;MOVIMENTO 5 STELLE;P;1;6
32861;SALSI FEDERICA;05/11/2012;MOVIMENTO 5 STELLE;P;11;67
33985;PIAZZA MARCO;05/11/2012;MOVIMENTO 5 STELLE;P;1;6
33986;ALDROVANDI STEFANO;05/11/2012;BOLOGNA 2016;P;8;49
32708;TURCI DANIELA;05/11/2012;PARTITO DEMOCRATICO;P;7;43
16863;MEROLA VIRGINIO;07/12/2012;SINDACO;A;0;0
9116;CEVENINI MAURIZIO;07/12/2012;PARTITO DEMOCRATICO;A;0;0
9076;MAZZANTI CLAUDIO;07/12/2012;PARTITO DEMOCRATICO;P;1;49
29442;CRITELLI FRANCESCO;07/12/2012;PARTITO DEMOCRATICO;P;0;0
32746;LEMBI SIMONA;07/12/2012;PARTITO DEMOCRATICO;P;1;49
27189;'BARCELO'' LIZANA LEONARDO L.';07/12/2012;PARTITO DEMOCRATICO;P;0;0
15586;MARCHESINI ANGELO;07/12/2012;PARTITO DEMOCRATICO;P;0;0
18313;LO GIUDICE SERGIO;07/12/2012;PARTITO DEMOCRATICO;P;0;0
9181;SANTI RAFFAELLA;07/12/2012;PARTITO DEMOCRATICO;A;0;0
32704;LAMA ROSSELLA;07/12/2012;PARTITO DEMOCRATICO;P;0;0
27410;FERRI MARIARAFFAELLA;07/12/2012;PARTITO DEMOCRATICO;P;0;0
27481;ZACCHIROLI BENEDETTO;07/12/2012;PARTITO DEMOCRATICO;P;0;0
32794;MIGNANI MARIANNA;07/12/2012;PARTITO DEMOCRATICO;P;0;0
22034;GHETTI MAURIZIO;07/12/2012;PARTITO DEMOCRATICO;P;1;49
33977;BENASSI MARZIA;07/12/2012;PARTITO DEMOCRATICO;P;1;49
33978;ERRANI FRANCESCO;07/12/2012;PARTITO DEMOCRATICO;P;0;0
27197;MELEGA CORRADO;07/12/2012;PARTITO DEMOCRATICO;P;0;0
9097;PETRELLA TOMMASO;07/12/2012;PARTITO DEMOCRATICO;P;0;0
33979;LA TORRE CATHY;07/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
33980;PIERALISI MIRCO;07/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
26392;CIPRIANI LORENZO;07/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
33987;SAZZINI LORENZO;07/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
32714;CAVIANO PASQUALE;07/12/2012;ITALIA DEI VALORI;P;1;49
21843;LISEI MARCO;07/12/2012;'POPOLO DELLA LIBERTA''';P;1;49
27208;TOMASSINI LORENZO;07/12/2012;'POPOLO DELLA LIBERTA''';P;1;49
32712;FACCI MICHELE;07/12/2012;'POPOLO DELLA LIBERTA''';P;1;49
27997;CASTALDINI VALENT.;07/12/2012;'POPOLO DELLA LIBERTA''';A;0;0
8904;CARELLA DANIELE;07/12/2012;'POPOLO DELLA LIBERTA''';P;1;49
20144;GATTUSO PATRIZIO G.;07/12/2012;'POPOLO DELLA LIBERTA''';P;1;49
32719;BERNARDINI MANES;07/12/2012;LEGA NORD;A;0;0
33981;COCCONCELLI MIRKA;07/12/2012;LEGA NORD;P;1;49
