Progressivo,Data,Presenza,Votazioni,Percentuale
33978,2013-09-16,P,15,73
27197,2013-09-16,P,15,73
9097,2013-09-16,P,15,73
33979,2013-09-16,A,0,0
33980,2013-09-16,P,15,73
26392,2013-09-16,P,13,63
33987,2013-09-16,P,11,53
32714,2013-09-16,P,16,78
21843,2013-09-16,P,15,73
27208,2013-09-16,P,16,78
32712,2013-09-16,P,16,78
27997,2013-09-16,P,13,63
8904,2013-09-16,P,16,78
20144,2013-09-16,P,15,73
32719,2013-09-16,A,0,0
33981,2013-09-16,P,16,78
33982,2013-09-16,P,15,73
33983,2013-09-16,P,14,68
33984,2013-09-16,P,15,73
32861,2013-09-16,P,14,68
33985,2013-09-16,P,16,78
33986,2013-09-16,P,3,14
32708,2013-09-16,A,0,0
0,2013-09-16,P,16,78
16863,2013-07-19,A,0,0
9076,2013-07-19,P,0,0
29442,2013-07-19,P,1,49
32746,2013-07-19,P,1,49
27189,2013-07-19,P,1,49
15586,2013-07-19,P,0,0
9181,2013-07-19,P,0,0
32704,2013-07-19,P,1,49
27410,2013-07-19,P,1,49
27481,2013-07-19,P,0,0
32794,2013-07-19,P,1,49
22034,2013-07-19,P,0,0
33977,2013-07-19,A,0,0
33978,2013-07-19,P,0,0
27197,2013-07-19,P,1,49
9097,2013-07-19,A,0,0
33979,2013-07-19,A,0,0
33980,2013-07-19,P,1,49
26392,2013-07-19,A,0,0
33987,2013-07-19,P,1,49
32714,2013-07-19,P,0,0
21843,2013-07-19,P,0,0
27208,2013-07-19,P,1,49
32712,2013-07-19,P,1,49
27997,2013-07-19,A,0,0
8904,2013-07-19,P,1,49
20144,2013-07-19,P,1,49
32719,2013-07-19,A,0,0
33981,2013-07-19,P,1,49
33982,2013-07-19,P,1,49
33983,2013-07-19,P,0,0
33984,2013-07-19,P,1,49
32861,2013-07-19,P,0,0
33985,2013-07-19,P,0,0
33986,2013-07-19,A,0,0
32708,2013-07-19,A,0,0
0,2013-07-19,P,0,0
16863,2013-09-20,A,0,0
9076,2013-09-20,P,1,49
29442,2013-09-20,P,0,0
32746,2013-09-20,P,1,49
27189,2013-09-20,A,0,0
15586,2013-09-20,P,0,0
9181,2013-09-20,A,0,0
32704,2013-09-20,P,0,0
27410,2013-09-20,P,0,0
27481,2013-09-20,A,0,0
32794,2013-09-20,P,1,49
22034,2013-09-20,P,1,49
33977,2013-09-20,P,1,49
33978,2013-09-20,P,1,49
27197,2013-09-20,A,0,0
